,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
7356,1020244,1.0,9,HOLY TRINITY RC CHURCH,-73.977406813235,40.785594507808,Religious Institution,culture,Manhattan
7358,3587,1.0,9,MT OLIVET BAPTIST CHURCH,-73.948041785176,40.804886562714,Religious Institution,culture,Manhattan
7360,1036690,3.0,4,BARTLETT PLAYGROUND HANDBALL COURT,-73.946103043871,40.701159239924,Recreational Facility,recreation,Brooklyn
7361,1144,3.0,4,PROSPECT PARK PARADE GROUND EAST,-73.967205283641,40.651218205032,Recreational Facility,recreation,Brooklyn
7362,1040331,1.0,4,TONY DAPOLITO RECREATION CENTER,-74.005455202344,40.72963047106,Recreational Facility,recreation,Manhattan
7363,1005904,1.0,4,CENTRAL PARK ZOO POLAR CIRCLE,-73.971800719631,40.768018109566,Recreational Facility,recreation,Manhattan
7370,16884,4.0,6,THROGS NECK,-73.793547540997,40.798578483316,Transportation Facility,transportation,Queens
7372,3494,4.0,4,QUEENS HISTORICAL SOCIETY,-73.82419254954,40.763590483082,Recreational Facility,recreation,Queens
7376,1036649,3.0,4,NOSTRAND PLAYGROUND BASKETBALL COURTS,-73.94705694465,40.638412889356,Recreational Facility,recreation,Brooklyn
7381,4008,2.0,9,ST ANDREWS CHURCH,-73.849375011447,40.822963908104,Religious Institution,culture,Bronx
7382,1358,3.0,4,VERNON THROOP AVENUE BLOCK ASSOCIATION GARDEN,-73.943114076675,40.695210946372,Recreational Facility,recreation,Brooklyn
7384,1025,1.0,4,DINOSAUR PLAYGROUND,-73.974979334849,40.797002507752,Recreational Facility,recreation,Manhattan
7391,1003686,4.0,4,FLUSHING MEADOWS PITCH & PUTT,-73.841018372752,40.751379001328,Recreational Facility,recreation,Queens
7394,1030132,4.0,6,RIIS LANDING ROCKAWAY FERRY,-73.884806137954,40.568254252935,Transportation Facility,transportation,Queens
7396,425,5.0,4,BLOOD ROOT VALLEY,-74.132151210476,40.587472540993,Recreational Facility,recreation,Staten Island
7399,1036763,3.0,4,SHERIDAN PLAYGROUND HANDBALL COURT,-73.964496021487,40.71509604794,Recreational Facility,recreation,Brooklyn
7400,15524,1.0,4,HOPE GARDEN,-73.9841278918,40.722157818805,Recreational Facility,recreation,Manhattan
7401,1031956,1.0,9,PRINCE OF PEACE TABERNACLE CHURCH,-73.932191823914,40.849571037558,Religious Institution,culture,Manhattan
7402,3565,1.0,9,OL LOURDES CHURCH,-73.948299246482,40.823189943263,Religious Institution,culture,Manhattan
7405,3902,3.0,9,SALEM LUTHERAN CHURCH,-74.021310868892,40.635932341638,Religious Institution,culture,Brooklyn
7411,1031390,4.0,6,ROCKAWAY BLVD OVR THURSTON BASIN,-73.748421003512,40.645529305084,Transportation Facility,transportation,Queens
7412,11670,3.0,3,UA COURT ST THEATRE,-73.992283658378,40.690650997137,Cultural Facility,culture,Brooklyn
7414,1031718,3.0,6,CENTER DRV OVER PED PATH STREAM,-73.969063548791,40.662305136138,Transportation Facility,transportation,Brooklyn
7428,1639,1.0,9,ST VLADIMIR UKRANIAN ORTHO CHURCH,-73.976290920065,40.78460113527,Religious Institution,culture,Manhattan
7433,795,5.0,4,MIDLAND PLAYGROUND,-74.098838725197,40.575096832864,Recreational Facility,recreation,Staten Island
7434,1036850,3.0,4,FERMI PLAYGROUND,-73.92840261278,40.700607108886,Recreational Facility,recreation,Brooklyn
7437,1344,4.0,4,ROCKAWAY GARAGE,-73.80293074277,40.591853539658,Recreational Facility,recreation,Queens
7439,19184,1.0,4,HARLEM RIVER EVENT AREA,-73.926196169727,40.795050493749,Recreational Facility,recreation,Manhattan
7442,1024147,1.0,4,FT TRYON PARK RIVERSIDE DR OVERLOOK,-73.930637173188,40.865656731321,Recreational Facility,recreation,Manhattan
7443,1035860,4.0,4,GROVER CLEVELAND PLAYGROUND,-73.911158029818,40.710812613434,Recreational Facility,recreation,Queens
7445,1035596,2.0,4,HAVEMEYER GARDEN ASSOCIATION,-73.84430523316,40.817553085519,Recreational Facility,recreation,Bronx
7446,1030350,3.0,4,JOHN STREET LAWN,-73.987106437042,40.70493481475,Recreational Facility,recreation,Brooklyn
7454,7238,4.0,9,ST PAULS APOSTLE CHURCH,-73.861842497928,40.739157201521,Religious Institution,culture,Queens
7457,1036677,5.0,4,SANDY GROUND WOODS,-74.234781031907,40.530509396273,Recreational Facility,recreation,Staten Island
7458,1002284,3.0,6,PIER 6 SHEEPSHEAD BAY,-73.945006994196,40.583332875413,Transportation Facility,transportation,Brooklyn
7459,1031652,3.0,6,I-278 BQE EB OVER WASHINGTON ST,-73.989715137059,40.701464844027,Transportation Facility,transportation,Brooklyn
7461,3861,5.0,9,REFORMED CHURCH SI,-74.132419016088,40.639694872251,Religious Institution,culture,Staten Island
7462,1007307,1.0,4,BRONX SHORE FIELD 1,-73.925379155549,40.80061985583,Recreational Facility,recreation,Manhattan
7463,17162,3.0,4,BROOKLYN BOTANICAL GARDEN - DESERT PAVILION,-73.962142250793,40.665867187298,Recreational Facility,recreation,Brooklyn
7466,3161,1.0,9,ST NICHOLAS RUSSIAN ORTHO CHURCH,-73.954097398779,40.788265752474,Religious Institution,culture,Manhattan
7467,3823,1.0,9,TRUE LIGHT LUTHERAN CHURCH,-73.999269273981,40.713983528065,Religious Institution,culture,Manhattan
7468,1036120,3.0,4,SETH LOW PARK FIELD,-73.986661830555,40.607750607345,Recreational Facility,recreation,Brooklyn
7472,5516,4.0,9,WHITESTONE HEBREW CENTER,-73.811621534156,40.790122035652,Religious Institution,culture,Queens
7473,1029688,3.0,4,CANARSIE BEACH PARK BASEBALL FIELDS,-73.893915641464,40.62916087576,Recreational Facility,recreation,Brooklyn
7474,1404,2.0,4,HOE GARDEN,-73.890133636089,40.822670536557,Recreational Facility,recreation,Bronx
7475,12476,1.0,3,CZECH CENTER NEW YORK,-73.95641531397,40.769159571965,Cultural Facility,culture,Manhattan
7476,1023124,4.0,4,FEDERATION OF ITALIAN AMERICAN ORGANIZATION OF QUEENS INC SOCCER FIELD,-73.904383034465,40.779661663179,Recreational Facility,recreation,Queens
7479,1030863,3.0,9,FULL GOSPEL TABERNACLE OF FAITH CHURCH,-73.917532426843,40.678919027249,Religious Institution,culture,Brooklyn
7482,1027549,2.0,9,MORRIS PARK 7 DAY ADVENTIST CHURCH,-73.86213890795,40.845821588543,Religious Institution,culture,Bronx
7486,1028408,4.0,9,GRACE EPISCOPAL CHURCH,-73.801016702182,40.703471126844,Religious Institution,culture,Queens
7491,1036141,4.0,4,WINFIELD MEMORIAL,-73.899591903335,40.73970736155,Recreational Facility,recreation,Queens
7492,17369,5.0,4,CRESCENT BEACH TOT LOT PLAYGROUND,-74.144935590679,40.537141798296,Recreational Facility,recreation,Staten Island
7493,1027809,1.0,9,CONGREGATION EDMOND J SAFRA,-73.970136104102,40.766517017678,Religious Institution,culture,Manhattan
7495,15831,4.0,9,LIGHT IN THE DARK CHRISTIAN CENTER,-73.859510436291,40.69298697838,Religious Institution,culture,Queens
7496,19887,3.0,4,BETSY HEAD POOL,-73.912696702348,40.662990317745,Recreational Facility,recreation,Brooklyn
7498,90,3.0,4,SGT WILLIAM DOUGHERTY PLAYGROUND,-73.936665392613,40.723708048823,Recreational Facility,recreation,Brooklyn
7500,16860,2.0,4,LITTLE CLAREMONT PLAYGROUND,-73.903753371487,40.838918615169,Recreational Facility,recreation,Bronx
7502,979,3.0,4,PROSPECT PARK HARMONY PLAYGROUND,-73.976917994204,40.663508911148,Recreational Facility,recreation,Brooklyn
7503,772,2.0,4,DAWSON PLAYGROUND,-73.898226524815,40.819553470498,Recreational Facility,recreation,Bronx
7512,1031564,2.0,6,I-278 BRUCKNER OV BRUCKNER BLVD,-73.916578326647,40.803292158712,Transportation Facility,transportation,Bronx
7515,14787,2.0,4,YANKEE STADIUM,-73.926506871433,40.829653739724,Recreational Facility,recreation,Bronx
7516,1036280,4.0,4,STEINWAY PLAYGROUND BASKETBALL COURTS,-73.903193906132,40.776666908383,Recreational Facility,recreation,Queens
7517,3382,5.0,4,WILLOWBROOK PARK TENNIS COURTS,-74.161301793397,40.603925385544,Recreational Facility,recreation,Staten Island
