,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
2,1036755,3.0,4,MCGOLRICK PLAYGROUND COMFORT STATION,-73.943478646583,40.724827480825,Recreational Facility,recreation,Brooklyn
4,6914,3.0,6,BAY RIDGE CHANNEL LIGHTED GONG BUOY 11,-74.024085858699,40.672444940613,Transportation Facility,transportation,Brooklyn
5,15705,1.0,4,THOMAS JEFFERSON PARK,-73.936113484306,40.793070363719,Recreational Facility,recreation,Manhattan
7,1031750,3.0,6,NEWKIRK AV OVER NYCTA BRIGHTON,-73.962896032221,40.635725656411,Transportation Facility,transportation,Brooklyn
9,9539,4.0,4,ARTHUR ASHE STADIUM,-73.8469462415,40.749665456207,Recreational Facility,recreation,Queens
11,1035190,1.0,4,HARLEM GROWN 134 ST GREEN HOUSE,-73.943313433901,40.81410593537,Recreational Facility,recreation,Manhattan
15,1032070,1.0,4,RIVERSIDE PARK BASKETBALL COURTS W 111 ST,-73.96974958994,40.806235003283,Recreational Facility,recreation,Manhattan
18,6515,2.0,6,WESTCHESTER CREEK CHANNEL BUOY 5,-73.84428560437,40.811189872738,Transportation Facility,transportation,Bronx
19,3633,3.0,9,BENSONHURST JEWISH COMMUNITY,-73.978016358098,40.613929641984,Religious Institution,culture,Brooklyn
20,3847,3.0,9,TEMPLE BETH-EL CHURCH,-73.902825054518,40.666328159518,Religious Institution,culture,Brooklyn
26,1031890,1.0,6,TO PARK ROW OVER ROSE STREET,-74.003300378486,40.711312627962,Transportation Facility,transportation,Manhattan
29,1031546,2.0,6,EAGLE AVENUE OVER EAST  161 ST,-73.908433275237,40.822174414728,Transportation Facility,transportation,Bronx
31,3483,2.0,4,PELHAM BAY PARK RICE STADIUM,-73.822723726794,40.849162167749,Recreational Facility,recreation,Bronx
33,1160,3.0,4,PROSPECT PARK WILLINK HILL,-73.96356475917,40.662003008286,Recreational Facility,recreation,Brooklyn
37,3972,2.0,9,ST BARNABAS CHURCH,-73.865341149755,40.902121904563,Religious Institution,culture,Bronx
42,1031695,3.0,6,STERLING PL OVR FRANKLIN AV SHTL,-73.958042703148,40.673502843859,Transportation Facility,transportation,Brooklyn
43,1024794,1.0,6,PIER 107 CVII,-73.93628779316,40.788923623988,Transportation Facility,transportation,Manhattan
44,16703,2.0,6,MADISON,-73.932373265544,40.814135426802,Transportation Facility,transportation,Bronx
46,3776,1.0,9,ARMENIAN EVANGELICAL CHURCH,-73.979012443967,40.745893861671,Religious Institution,culture,Manhattan
49,1482,3.0,4,DR RONALD MCNAIR PARK,-73.961996682758,40.670853115747,Recreational Facility,recreation,Brooklyn
51,1032370,2.0,9,GARDEN OF PRAYER CATHEDRAL CHURCH,-73.898218083063,40.846344703655,Religious Institution,culture,Bronx
52,1026909,4.0,6,KOCH BR PEDESTRIAN AND BIKE,-73.95061757693,40.755307834355,Transportation Facility,transportation,Queens
53,6518,2.0,6,WESTCHESTER CREEK CHANNEL BUOY 8,-73.843891654494,40.812935730384,Transportation Facility,transportation,Bronx
54,3932,2.0,9,FAMILY BAPTIST CHURCH,-73.905587822784,40.844455467625,Religious Institution,culture,Bronx
55,14791,4.0,9,YOUNG ISRAEL OF NEW HYDE PARK,-73.708582215039,40.749397406233,Religious Institution,culture,Queens
56,18858,3.0,9,YOUNG ISRAEL OF VANDERVEER PARK,-73.94937528807,40.636389565001,Religious Institution,culture,Brooklyn
57,1007365,1.0,4,RANDALLS ISLAND FIELD 63,-73.92453957718,40.782979677881,Recreational Facility,recreation,Manhattan
58,7707,5.0,6,ARLINGTON YARD SIRR,-74.174861096413,40.632030092801,Transportation Facility,transportation,Staten Island
59,6437,1.0,9,SAINT PAUL'S CHAPEL,-74.009185243242,40.711317087401,Religious Institution,culture,Manhattan
63,8932,1.0,4,HIGH BRIDGE PARK POOL,-73.934137494374,40.842901197239,Recreational Facility,recreation,Manhattan
64,17050,1.0,3,INTREPID SEA AIR & SPACE MUSEUM,-74.000366944131,40.764569120499,Cultural Facility,culture,Manhattan
72,15427,3.0,9,FLATLANDS REFORMED CHURCH,-73.936242085042,40.624143817097,Religious Institution,culture,Brooklyn
73,1002205,1.0,4,CENTRAL PARK LITERARY WALK,-73.972650483476,40.770358683913,Recreational Facility,recreation,Manhattan
74,3872,1.0,9,GOD 3 AVE CHURCH,-73.939474461372,40.798343287332,Religious Institution,culture,Manhattan
80,1427,2.0,4,PADRE PLAZA COMMUNITY GARDEN,-73.917510815415,40.807942073133,Recreational Facility,recreation,Bronx
81,832,1.0,4,ALEXANDER HAMILTON PLAYGROUND,-73.951294508798,40.823139626806,Recreational Facility,recreation,Manhattan
82,1036854,3.0,4,LINDEN PARK,-73.887527788609,40.659283212548,Recreational Facility,recreation,Brooklyn
84,8782,4.0,6,WINHOLE CHANNEL LIGHTED BUOY 9,-73.811773708908,40.63016157395,Transportation Facility,transportation,Queens
86,3588,1.0,9,ST PETER LUTHERAN CHURCH,-73.970361124986,40.758761876596,Religious Institution,culture,Manhattan
88,1036113,3.0,4,ROBERT E VENABLE PARK PLAYGROUND,-73.865211767593,40.674049656905,Recreational Facility,recreation,Brooklyn
89,1035714,4.0,4,COLDEN PLAYGROUND HANDBALL COURT,-73.827575775938,40.769935099227,Recreational Facility,recreation,Queens
94,1036546,2.0,4,REV J POLITE PLAYGROUND COMFORT STATION,-73.897805730263,40.826907453811,Recreational Facility,recreation,Bronx
95,1035110,5.0,4,STAPLETON PLAYGROUND POOL,-74.079241038145,40.622832380055,Recreational Facility,recreation,Staten Island
97,1035123,3.0,4,ST JOHNS PARK COMFORT STATION,-73.935311553824,40.673782165853,Recreational Facility,recreation,Brooklyn
101,8650,5.0,6,RARITAN BAY LIGHT 20,-74.162292526026,40.50349160858,Transportation Facility,transportation,Staten Island
106,9906,1.0,6,MACOMBS DAM,-73.934494158842,40.828043308349,Transportation Facility,transportation,Manhattan
107,1031895,1.0,3,ARTS CLUB STUDIO BUILDING,-73.986696305668,40.737716349051,Cultural Facility,culture,Manhattan
110,1026395,4.0,4,FLUSHING MEADOWS CORONA PARK BALLFIELD 14,-73.836441734909,40.727917134963,Recreational Facility,recreation,Queens
111,1036834,3.0,4,VITALE FIELDS BALLFIELD 5,-74.018285640618,40.605412622339,Recreational Facility,recreation,Brooklyn
112,494,2.0,4,MT HOPE PLAYGROUND,-73.909414590948,40.850348111528,Recreational Facility,recreation,Bronx
118,1542,3.0,4,CUYLER GORE PARK,-73.971923480692,40.68562676494,Recreational Facility,recreation,Brooklyn
119,1026988,4.0,4,KISSENA VELODROME,-73.809428103873,40.744776868508,Recreational Facility,recreation,Queens
120,14926,1.0,9,GREATER CENTRAL BAPTIST CHURCH,-73.939371640872,40.810815385782,Religious Institution,culture,Manhattan
121,1034103,4.0,4,USTA CHILLER BUILDING,-73.846436283739,40.751306070987,Recreational Facility,recreation,Queens
122,15671,2.0,4,RANDALL COMMUNITY GARDEN,-73.861235019809,40.817060073222,Recreational Facility,recreation,Bronx
126,1022146,3.0,4,DYKER BEACH PARK,-74.018232611954,40.611756363445,Recreational Facility,recreation,Brooklyn
129,1032213,4.0,9,ALL NATIONS CHURCH UNION TPKE,-73.708950506506,40.748342652027,Religious Institution,culture,Queens
131,1035674,1.0,4,J HOOD WRIGHT PARK,-73.941255626458,40.846542275389,Recreational Facility,recreation,Manhattan
132,1008485,4.0,6,BOTANICAL GRDN,-73.832744012304,40.749303513263,Transportation Facility,transportation,Queens
133,1007311,1.0,4,BRONX SHORE FIELD 5,-73.922626140162,40.800215906843,Recreational Facility,recreation,Manhattan
134,8450,2.0,6,NYCTA UNIONPORT YARD,-73.870849022791,40.844070793012,Transportation Facility,transportation,Bronx
137,1020346,3.0,9,CATHOLIC CHARITIES BROOKLYN,-73.991785063549,40.692810710146,Religious Institution,culture,Brooklyn
143,1036720,3.0,4,HATTIE CARTHAN PLAYGROUND BASKETBALL COURT,-73.946021467433,40.685615551148,Recreational Facility,recreation,Brooklyn
149,840,1.0,4,EAST RIVER PARK AMPHITHEATER,-73.977815238119,40.711118087476,Recreational Facility,recreation,Manhattan
152,1031379,4.0,6,ELIOT AVENUE OVER QUEENS BLVD,-73.867986731676,40.732599626059,Transportation Facility,transportation,Queens
154,1026959,2.0,6,TILLOTSON AVE PEDESTRIAN,-73.830096419304,40.88177494702,Transportation Facility,transportation,Bronx
158,13001,3.0,9,ST CATHERINE ALEXANDRIA CHURCH,-73.991340783642,40.642181962459,Religious Institution,culture,Brooklyn
159,1032089,2.0,9,GRAND CONCOURSE SDA CHURCH,-73.916403578597,40.836394399695,Religious Institution,culture,Bronx
165,1031317,4.0,6,149 PLC LIRR PORT WASH BRIDGE,-73.814906971931,40.76267928605,Transportation Facility,transportation,Queens
169,3811,3.0,9,ST GREGORY THE GREAT RC CHURCH,-73.945059498012,40.671858994766,Religious Institution,culture,Brooklyn
171,1031805,3.0,6,86 ST OVER NYCT SEA BEACH LINE,-73.978226192597,40.592493283432,Transportation Facility,transportation,Brooklyn
172,557,4.0,4,JUNCTION PLAYGROUND,-73.872170996543,40.754766440424,Recreational Facility,recreation,Queens
175,1031501,2.0,6,CONCSE VLG OV MTRO N HARLEM LINE,-73.920125802437,40.822640616165,Transportation Facility,transportation,Bronx
178,17343,4.0,4,FLUSHING MEADOW PARK TRIASSIC PLAYGROUND,-73.835053009858,40.729819852293,Recreational Facility,recreation,Queens
179,18422,1.0,4,MASARYK BASKETBALL GYM,-73.980430903147,40.717539602661,Recreational Facility,recreation,Manhattan
182,1024302,1.0,4,INWOOD HILL PARK BOAT DOCK,-73.920756648463,40.874218679024,Recreational Facility,recreation,Manhattan
184,3228,1.0,9,LATIN AMERICAN PENTECOSTAL CHURCH OF GOD,-73.937912627926,40.804865568221,Religious Institution,culture,Manhattan
185,1027838,2.0,9,CHURCH ALIVE COMMUNITY CHURCH,-73.912409623027,40.832090369268,Religious Institution,culture,Bronx
191,1002904,1.0,9,TEMPLE EMANUEL,-73.969757236055,40.768071873524,Religious Institution,culture,Manhattan
196,147,3.0,4,MONSEIGNEUR CRAWFORD FIELD,-73.916083440467,40.614562794153,Recreational Facility,recreation,Brooklyn
197,1031791,3.0,6,BAY PARKWAY OVER NYCT SEA BEACH,-73.982165953681,40.613127218954,Transportation Facility,transportation,Brooklyn
198,828,1.0,4,PETER'S FIELD,-73.981643699674,40.736166637497,Recreational Facility,recreation,Manhattan
199,8469,3.0,4,KOLBERT PLAYGROUND,-73.95796261542,40.620106526241,Recreational Facility,recreation,Brooklyn
204,1031182,1.0,6,W 35 ST OV AMTRAK 30 ST BRANCH,-74.001486841872,40.756462846522,Transportation Facility,transportation,Manhattan
206,1036482,3.0,4,LINCOLN TERRACE PARK COMFORT STATION,-73.927569693179,40.666370940496,Recreational Facility,recreation,Brooklyn
208,1034301,1.0,6,STEINWAY TUBE,-73.966962084072,40.747500620205,Transportation Facility,transportation,Manhattan
210,1035122,3.0,4,CONEY ISLAND W 25 ST TRAILER,-73.992024493117,40.572301040667,Recreational Facility,recreation,Brooklyn
213,11197,1.0,3,"CINEMA 1, 2  & 3 THEATRES",-73.966052711622,40.761852359784,Cultural Facility,culture,Manhattan
216,1036019,3.0,4,LEIF ERICSON PARK BASKETBALL COURTS,-74.020414937248,40.636122640368,Recreational Facility,recreation,Brooklyn
223,1035609,5.0,4,PS 55 PLAYGROUND,-74.163160989689,40.536323318271,Recreational Facility,recreation,Staten Island
224,1018424,4.0,3,MOMA PS 1,-73.947961146518,40.745564355667,Cultural Facility,culture,Queens
226,12885,3.0,4,HECKSCHER PLAYGROUND,-73.918268157168,40.695024813043,Recreational Facility,recreation,Brooklyn
228,841,1.0,6,INWOOD HILL CANOE CLUB PIER,-73.93271082102,40.86728700248,Transportation Facility,transportation,Manhattan
229,3668,3.0,9,FIRST PRESBYTERIAN CHURCH,-73.993538716238,40.696994864415,Religious Institution,culture,Brooklyn
231,517,3.0,4,DOME PLAYGROUND,-73.980163428899,40.63817379477,Recreational Facility,recreation,Brooklyn
236,1033400,3.0,3,WEEKSVILLE HERITAGE CENTER,-73.925242472238,40.674203030471,Cultural Facility,culture,Brooklyn
237,5797,1.0,3,96 STREET LIBRARY,-73.951798695176,40.78601871145,Cultural Facility,culture,Manhattan
238,1020565,4.0,4,JACOB RIIS BEACH,-73.873631961496,40.564658834634,Recreational Facility,recreation,Queens
246,1031561,2.0,6,EAST  233 ST OVER BRONX RIVER,-73.862304283218,40.894969887257,Transportation Facility,transportation,Bronx
248,15851,4.0,4,GRASSMERE PLAYGROUND,-73.758962204205,40.599375584282,Recreational Facility,recreation,Queens
251,1035460,2.0,4,BEHAGEN PLAYGROUND COMFORT STATION,-73.900930966466,40.825484480766,Recreational Facility,recreation,Bronx
255,1036675,3.0,4,PIERREPONT PLAYGROUND,-73.997566340524,40.696272039784,Recreational Facility,recreation,Brooklyn
258,15363,1.0,4,SEPTUAGESIMO UNO PARK,-73.984308530321,40.778690078428,Recreational Facility,recreation,Manhattan
261,3675,1.0,9,FIRST CHURCH OF CHRIST HOLINESS,-73.94080796248,40.805189010298,Religious Institution,culture,Manhattan
262,1031640,5.0,6,BOROUGH PLACE RAMP A OVR SI RAIL,-74.074292225389,40.642254580354,Transportation Facility,transportation,Staten Island
263,15809,3.0,3,BROOKLYN CONSERVATORY OF MUSIC,-73.974711306912,40.675937550525,Cultural Facility,culture,Brooklyn
264,9908,1.0,4,MILL ROCK PARK ISLAND,-73.938391360103,40.78065338569,Recreational Facility,recreation,Manhattan
265,1035745,4.0,4,HEMPSTEAD BENCH SPREAD,-73.729664385041,40.710448301326,Recreational Facility,recreation,Queens
267,1032399,4.0,9,ASTORIA CENTER OF ISRAEL,-73.924213297877,40.769433655427,Religious Institution,culture,Queens
268,14764,3.0,4,RED HOOK RECREATION CENTER,-74.00404108643,40.672390168991,Recreational Facility,recreation,Brooklyn
270,1020084,3.0,4,AVENUE U LOWES PARK,-73.916995558671,40.61184884712,Recreational Facility,recreation,Brooklyn
275,1036955,3.0,4,SQUIBB PARK COMFORT STATION,-73.99539084109,40.701057982908,Recreational Facility,recreation,Brooklyn
277,1036712,3.0,4,SURF PLAYGROUND COMFORT STATION,-73.992687886881,40.573673350032,Recreational Facility,recreation,Brooklyn
279,5447,3.0,3,CLARENDON LIBRARY,-73.947626905778,40.635738014318,Cultural Facility,culture,Brooklyn
284,1027456,4.0,9,EBENEZER MISSION CHURCH,-73.750253203567,40.734884216741,Religious Institution,culture,Queens
291,1035422,1.0,4,PS 63 PLAYGROUND,-73.986144945768,40.724563697162,Recreational Facility,recreation,Manhattan
296,1024192,1.0,4,FT TRYON PARK PINE LAWN,-73.934538495492,40.860824858885,Recreational Facility,recreation,Manhattan
297,1035483,2.0,4,RIVER PARK,-73.877242497582,40.843277255031,Recreational Facility,recreation,Bronx
299,17361,1.0,4,J HOOD WRIGHT PARK PLAYGROUND,-73.940954942376,40.845992815432,Recreational Facility,recreation,Manhattan
305,1002122,1.0,9,JUDSON MEMORIAL CHURCH,-73.998378522784,40.730259326433,Religious Institution,culture,Manhattan
312,16733,3.0,6,PIER 1 ERIE BASIN,-74.015006408509,40.671562465322,Transportation Facility,transportation,Brooklyn
318,19377,3.0,6,PIER 7 BUSH TERMINAL,-74.016214951711,40.657418329371,Transportation Facility,transportation,Brooklyn
325,15616,2.0,9,ST FRANCIS XAVIER CHURCH,-73.853149918891,40.847984984251,Religious Institution,culture,Bronx
326,15817,1.0,3,BLOOMINGDALE LIBRARY,-73.967849811124,40.795928246603,Cultural Facility,culture,Manhattan
330,6678,4.0,4,CHALLENGE PLAYGROUND,-73.727961544321,40.756650723892,Recreational Facility,recreation,Queens
335,1040112,3.0,3,SHORE PARK JEWISH CENTER,-73.93874459683,40.592078124842,Cultural Facility,culture,Brooklyn
336,1033670,4.0,9,FIRST PRESBYTERIAN CHURCH OF FAR ROCKAWAY,-73.746875978497,40.60956719451,Religious Institution,culture,Queens
348,15623,2.0,9,SANTA MARIA CHURCH,-73.850404577812,40.83858762953,Religious Institution,culture,Bronx
349,1038388,4.0,4,PO EDWARD BYRNE PK BASKETBALL CT,-73.807633817877,40.667359854135,Recreational Facility,recreation,Queens
350,17344,4.0,4,GIOVANNELLI PLAYGROUND,-73.847570584291,40.698912267125,Recreational Facility,recreation,Queens
351,6182,5.0,6,GREAT KILLS HARBOR CHANNEL BUOY 5,-74.140022361385,40.529411264224,Transportation Facility,transportation,Staten Island
353,16716,3.0,6,JJ BYRNE MEMORIAL,-73.940533448131,40.733218965368,Transportation Facility,transportation,Brooklyn
356,15824,3.0,3,BROOKLYN CHINESE AMERICAN ASSOCIATION,-74.003990384856,40.641113543425,Cultural Facility,culture,Brooklyn
357,620,1.0,4,LITTLE FLOWER PLAYGROUND,-73.988215938301,40.712523206571,Recreational Facility,recreation,Manhattan
360,1035210,2.0,4,LORETO PLAYGROUND COURTS,-73.851768215388,40.848907623251,Recreational Facility,recreation,Bronx
362,18386,4.0,4,NATHANIEL SCHNEIDER TRIANGLE,-73.8593681975,40.712759304901,Recreational Facility,recreation,Queens
363,1006177,4.0,4,EDERLE TERRACE CAFE FLUSHING MEADOWS CORONA PARK,-73.841720012932,40.739114975877,Recreational Facility,recreation,Queens
364,33,1.0,4,DR RONALD E MCNAIR PLAYGROUND,-73.938079502269,40.802576084448,Recreational Facility,recreation,Manhattan
367,1031073,1.0,6,PARK AVENUE NB OVER E   45 ST,-73.97574895304,40.753821188741,Transportation Facility,transportation,Manhattan
375,1031122,1.0,6,CTRL PK E DR BR OV 65 ST TRNVS,-73.972845751592,40.76902605898,Transportation Facility,transportation,Manhattan
379,1035453,2.0,4,BRADY PLAYGROUND COMFORT STATION,-73.868634438495,40.851448383717,Recreational Facility,recreation,Bronx
380,13565,5.0,4,CLOVE LAKES PK BALLFIELDS,-74.106389486622,40.617522540348,Recreational Facility,recreation,Staten Island
381,1031843,4.0,6,35 STREET OVER I-278 BQE,-73.914618875854,40.769744435279,Transportation Facility,transportation,Queens
384,14869,3.0,4,LOWER HIGHLAND PLAYGROUND,-73.885719986792,40.683972377829,Recreational Facility,recreation,Brooklyn
387,1135,1.0,4,CENTRAL PARK STRAWBERRY FIELDS,-73.975225531651,40.775708961087,Recreational Facility,recreation,Manhattan
388,18586,1.0,3,MELVILLE GALLERY,-74.003315432469,40.707403603449,Cultural Facility,culture,Manhattan
389,3258,1.0,9,CROATIAN CHURCH NY STS CYRIL & METHODIUS & ST RAPHAEL RCC,-73.996736599149,40.759107163363,Religious Institution,culture,Manhattan
391,1305,1.0,4,JOAN OF ARC ISLAND,-73.976459217864,40.794234424217,Recreational Facility,recreation,Manhattan
392,3670,5.0,9,ASCENSION CHURCH,-74.122111629922,40.62302566459,Religious Institution,culture,Staten Island
394,5849,1.0,9,FORT TRYON JEWISH CENTER,-73.937382977667,40.852772445297,Religious Institution,culture,Manhattan
395,1036242,4.0,4,MOORE HOMESTEAD PLAYGROUND COMFORT STATION,-73.882353764976,40.742345281013,Recreational Facility,recreation,Queens
397,3701,3.0,9,ZION GERMAN EVANGELICAL LUTHERAN CHURCH,-73.993151139088,40.696767713636,Religious Institution,culture,Brooklyn
399,19347,3.0,4,CARMINE CARRO CENTER & FIELD HOUSE,-73.93747375453,40.607825829543,Recreational Facility,recreation,Brooklyn
401,1038578,2.0,6,NYPD BRONX TOW POUND,-73.910110842593,40.866367158659,Transportation Facility,transportation,Bronx
410,1023064,1.0,4,THOMAS PAINE PARK,-74.002653425222,40.715015151344,Recreational Facility,recreation,Manhattan
411,1023113,3.0,4,OUR LADY OF PEACE RECREATION CENTER,-73.985544009741,40.675860031903,Recreational Facility,recreation,Brooklyn
412,3894,5.0,9,ELIM CHRISTIAN ASSEMBLY,-74.123170610767,40.615346607082,Religious Institution,culture,Staten Island
417,1030490,1.0,4,RIVERSIDE PARK 77 ST BALLFIELDS,-73.985623447127,40.784570476927,Recreational Facility,recreation,Manhattan
419,1031764,3.0,6,15 ST FOOTBRIDGE,-73.962084259478,40.629012031575,Transportation Facility,transportation,Brooklyn
422,1028649,3.0,9,GREATER BIBLEWAY TEMPLE APOSTOLIC MECCA,-73.928025822838,40.669786034925,Religious Institution,culture,Brooklyn
424,12904,3.0,6,GOWANUS FLATS LIGHTED BELL BUOY 22,-74.050561841999,40.634182449814,Transportation Facility,transportation,Brooklyn
425,1031971,4.0,4,JUNIPER VALLEY PARK HANDBALL COURTS,-73.877274046168,40.721138746234,Recreational Facility,recreation,Queens
427,1031498,2.0,6,W 234 OV CONRAIL ABDND PUTNAM,-73.901804777174,40.881139876357,Transportation Facility,transportation,Bronx
428,1323,5.0,4,BAYVIEW TERRACE PARK,-74.163720077009,40.526891367669,Recreational Facility,recreation,Staten Island
429,1024185,1.0,4,FT TRYON PARK NEW LEAF RESTROOM,-73.932719600023,40.860655181403,Recreational Facility,recreation,Manhattan
430,1037,1.0,4,SCYLLA PLAYGROUND,-73.925541278741,40.783968648538,Recreational Facility,recreation,Manhattan
433,6185,5.0,6,GREAT KILLS HARBOR CHANNEL BUOY 4,-74.136472221105,40.526369072102,Transportation Facility,transportation,Staten Island
435,19953,2.0,6,EASTCHESTER,-73.823849843173,40.887719406899,Transportation Facility,transportation,Bronx
436,1035937,1.0,6,BROOKLYN BRIDGE PARK PIER 6 FERRY LANDING,-74.001878069783,40.692293755726,Transportation Facility,transportation,Manhattan
437,15276,1.0,9,ST JOHN EPISCOPAL CHURCH,-74.002074599671,40.73617190026,Religious Institution,culture,Manhattan
445,1031522,2.0,6,BEDFORD PARK BL OV METRO N HRLM,-73.882851390164,40.866454566852,Transportation Facility,transportation,Bronx
452,1031816,3.0,6,BELT SHORE PKW OV SHPSHD BAY RD,-73.950931314272,40.584554887249,Transportation Facility,transportation,Brooklyn
453,15534,2.0,4,TAQWA COMMUNITY FARM,-73.929126250459,40.832634794155,Recreational Facility,recreation,Bronx
459,1030619,1.0,4,RIVERBANK PARK SERVICE BUILDING,-73.956035239847,40.825273694806,Recreational Facility,recreation,Manhattan
463,13777,1.0,3,JEWISH MUSEUM,-73.957257376484,40.785382719821,Cultural Facility,culture,Manhattan
465,1036593,3.0,4,PEDERSEN PLAYGROUND BASKETBALL COURT,-74.036276266872,40.626105120142,Recreational Facility,recreation,Brooklyn
466,1154,3.0,4,PROSPECT PARK WEST,-73.97225684319,40.669937910246,Recreational Facility,recreation,Brooklyn
467,1036810,3.0,4,JACKIE ROBINSON PLAYGROUND,-73.959238668874,40.665798584063,Recreational Facility,recreation,Brooklyn
471,1039607,3.0,4,FIDLER WYCKOFF HOUSE PARK,-73.920641130333,40.644553842791,Recreational Facility,recreation,Brooklyn
475,1031295,4.0,6,150 ST BR OV BELT CROSS IS PKWY,-73.813330030896,40.787190877919,Transportation Facility,transportation,Queens
476,1031611,5.0,6,FINGERBOARD ROAD OVR SIRT S SHR,-74.08517066986,40.601667595322,Transportation Facility,transportation,Staten Island
477,3524,1.0,9,PHILA CHRIST CHURCH,-73.967896350478,40.768098113212,Religious Institution,culture,Manhattan
478,1020704,3.0,4,BATH BEACH PARK,-74.011054884233,40.602396769411,Recreational Facility,recreation,Brooklyn
479,1031855,4.0,6,91 PLACE OVER LIRR PT WASH BR,-73.874106634911,40.742968887078,Transportation Facility,transportation,Queens
482,1036409,3.0,4,RED HOOK RECREATION AREA,-74.006682495297,40.671404610275,Recreational Facility,recreation,Brooklyn
485,6656,4.0,9,JEHOVAHS WITNESS KINGDOM HALL FLUSHING,-73.819725900094,40.748304531672,Religious Institution,culture,Queens
486,1038944,5.0,4,FAIRVIEW PARK PLAYGROUND,-74.230262369397,40.531245619886,Recreational Facility,recreation,Staten Island
489,3941,2.0,9,OUR LADY OF ANGELS CHURCH,-73.900158694068,40.873783816115,Religious Institution,culture,Bronx
494,1031953,5.0,9,IGLESIA JOVENES CRISTIANOS CHURCH,-74.111458528023,40.634981741372,Religious Institution,culture,Staten Island
500,1024244,1.0,4,HIGHBRIDGE PARK FORT GEORGE HILL MOUNTAIN BIKE TRAIL,-73.924659063859,40.859459552847,Recreational Facility,recreation,Manhattan
501,1036208,2.0,4,ST MARYS PLAYGROUND EAST COMFORT STATION,-73.910494421118,40.80992053881,Recreational Facility,recreation,Bronx
504,14423,4.0,6,HEAD OF BAY BUOY NP,-73.747235269509,40.635320358933,Transportation Facility,transportation,Queens
505,1030130,1.0,4,ASPHALT GREEN FIELD BATTERY PARK CITY,-74.014016351576,40.716074793366,Recreational Facility,recreation,Manhattan
506,5477,1.0,3,SAMUEL J FRIEDMAN THEATRE,-73.986782707875,40.760322975646,Cultural Facility,culture,Manhattan
510,8440,4.0,4,FLUSHING MEADOW NYS PAVILION OBSERVATION TOWERS,-73.844877477224,40.744000394257,Recreational Facility,recreation,Queens
515,1036340,1.0,4,LITTLE FLOWER PLAYGROUND COMFORT STATION,-73.988588443581,40.71259171757,Recreational Facility,recreation,Manhattan
518,14509,1.0,9,MASTER CHURCH,-73.955414101905,40.809029098484,Religious Institution,culture,Manhattan
520,82,1.0,4,FRED SAMUEL PLAYGROUND,-73.939181990118,40.817144413908,Recreational Facility,recreation,Manhattan
522,1030689,4.0,9,ST GEORGES EPISCOPAL CHURCH  ASTORIA,-73.928768240315,40.773054591889,Religious Institution,culture,Queens
525,1021885,4.0,4,COLLEGE POINT FIELD,-73.83787732063,40.775731139737,Recreational Facility,recreation,Queens
526,1033650,4.0,9,HOLLIS PRESBYTERIAN CHURCH,-73.762594384267,40.708105156265,Religious Institution,culture,Queens
527,1022148,3.0,4,DYKER BEACH PARK JUNIOR GOLF CENTER,-74.017475534671,40.607697267524,Recreational Facility,recreation,Brooklyn
532,1029865,2.0,9,PELHAM BAY ASSEMBLY OF GOD CHURCH,-73.819115889698,40.846056170995,Religious Institution,culture,Bronx
535,1035509,2.0,4,HUNTS PNT RIVERSIDE KAYAK LAUNCH,-73.881282125552,40.817939497808,Recreational Facility,recreation,Bronx
537,18898,4.0,4,SOBELSHON PLAYGROUND,-73.836170939224,40.709465575012,Recreational Facility,recreation,Queens
544,1030941,3.0,4,YMCA CONEY ISLAND,-73.995282028759,40.573539341012,Recreational Facility,recreation,Brooklyn
545,1036393,4.0,4,THE PAINTERS PLAYGROUND,-73.86003521588,40.720571137434,Recreational Facility,recreation,Queens
546,1035889,2.0,4,BANANA KELLY PARK,-73.897496355428,40.818797477015,Recreational Facility,recreation,Bronx
547,1026595,3.0,9,ANNUNCIATION CHURCH,-73.954718926625,40.714371188287,Religious Institution,culture,Brooklyn
548,1029168,5.0,9,CONGREGATION AHAVATH ISRAEL,-74.249555201666,40.508093628191,Religious Institution,culture,Staten Island
551,919,1.0,4,LUTHER GULICK PLAYGROUND,-73.981847238817,40.715860647974,Recreational Facility,recreation,Manhattan
554,1034096,4.0,4,USTA WEST GATE,-73.84872718319,40.749347020643,Recreational Facility,recreation,Queens
556,576,3.0,6,BROOKLYN,-73.993955855117,40.703855327427,Transportation Facility,transportation,Brooklyn
558,1024346,1.0,4,INWOOD HILL PARK PALISADES OVERLOOK,-73.927229332197,40.873169542662,Recreational Facility,recreation,Manhattan
560,19559,5.0,6,PIER 20,-74.06875361328,40.619873514825,Transportation Facility,transportation,Staten Island
561,17642,2.0,4,PELHAM BAY PARK,-73.809445925569,40.867481277335,Recreational Facility,recreation,Bronx
562,8595,1.0,6,PIER 54,-74.009525689854,40.741371562252,Transportation Facility,transportation,Manhattan
567,1036576,3.0,4,CRISPUS ATTUCKS PLAYGROUND COMFORT STATION,-73.95919927313,40.681637611507,Recreational Facility,recreation,Brooklyn
572,1034473,1.0,4,GOVERNORS ISLAND THE YARD,-74.014399132207,40.687995842552,Recreational Facility,recreation,Manhattan
